sample,test_size,alpha,actual_prop,pred_prop,abs_error,accuracy,quantifier,f-measure,best_threshold
6,10,0.1,0.1,0.2,0.1,0.9,CC,0.67,0.5
6,10,0.1,0.1,0.0,0.1,0.9,ACC,,0.98
6,10,0.1,0.1,0.04,0.06,0.9,X,,0.98
6,10,0.1,0.1,0.0,0.1,0.9,MAX,,0.98
6,10,0.1,0.1,0.15,0.05,1.0,T50,1.0,0.88
6,10,0.1,0.1,0.0,0.1,0.9,MS,,0.98
6,10,0.1,0.1,0.07,0.03,1.0,HDy,1.0,0.88
6,10,0.1,0.1,0.06,0.04,1.0,DyS,1.0,0.88
6,10,0.1,0.1,0.0,0.1,0.9,SORD,,0.98
6,10,0.1,0.1,0.15,0.05,1.0,SMM,1.0,0.88
7,10,0.1,0.1,0.2,0.1,0.9,CC,0.67,0.5
7,10,0.1,0.1,0.0,0.1,0.9,ACC,,0.98
7,10,0.1,0.1,0.04,0.06,0.9,X,,0.98
7,10,0.1,0.1,0.0,0.1,0.9,MAX,,0.98
7,10,0.1,0.1,0.15,0.05,1.0,T50,1.0,0.75
7,10,0.1,0.1,0.04,0.06,0.9,MS,,0.98
7,10,0.1,0.1,0.09,0.01,1.0,HDy,1.0,0.75
7,10,0.1,0.1,0.12,0.02,1.0,DyS,1.0,0.75
7,10,0.1,0.1,0.03,0.07,0.9,SORD,,0.98
7,10,0.1,0.1,0.21,0.11,0.9,SMM,0.67,0.5
8,10,0.1,0.1,0.3,0.2,0.8,CC,0.5,0.5
8,10,0.1,0.1,0.13,0.03,0.8,ACC,,0.94
8,10,0.1,0.1,0.19,0.09,0.9,X,0.67,0.88
8,10,0.1,0.1,0.13,0.03,0.8,MAX,,0.94
8,10,0.1,0.1,0.35,0.25,0.7,T50,0.33,0.09
8,10,0.1,0.1,0.12,0.02,0.8,MS,,0.94
8,10,0.1,0.1,0.1,0.0,0.8,HDy,,0.94
8,10,0.1,0.1,0.12,0.02,0.8,DyS,,0.94
8,10,0.1,0.1,0.15,0.05,0.9,SORD,0.67,0.88
8,10,0.1,0.1,0.24,0.14,0.9,SMM,0.67,0.88
9,10,0.1,0.1,0.2,0.1,0.9,CC,0.67,0.5
9,10,0.1,0.1,0.0,0.1,0.9,ACC,,0.94
9,10,0.1,0.1,0.04,0.06,0.9,X,,0.94
9,10,0.1,0.1,0.0,0.1,0.9,MAX,,0.94
9,10,0.1,0.1,0.15,0.05,0.8,T50,,0.88
9,10,0.1,0.1,0.0,0.1,0.9,MS,,0.94
9,10,0.1,0.1,0.04,0.06,0.9,HDy,,0.94
9,10,0.1,0.1,0.02,0.08,0.9,DyS,,0.94
9,10,0.1,0.1,0.0,0.1,0.9,SORD,,0.94
9,10,0.1,0.1,0.14,0.04,0.8,SMM,,0.88
10,10,0.1,0.1,0.4,0.3,0.7,CC,0.4,0.5
10,10,0.1,0.1,0.28,0.18,0.8,ACC,0.5,0.69
10,10,0.1,0.1,0.34,0.24,0.8,X,0.5,0.69
10,10,0.1,0.1,0.28,0.18,0.8,MAX,0.5,0.69
10,10,0.1,0.1,0.0,0.1,0.9,T50,,0.88
10,10,0.1,0.1,0.28,0.18,0.8,MS,0.5,0.69
