,sample,test_size,alpha,actual_prop,pred_prop,abs_error,accuracy,quantifier,f-measure,best_threshold
196,10,10,0.05,0.0,0.01,0.01,1.0,HDy,,0.88
197,10,10,0.05,0.0,0.01,0.01,1.0,DyS,,0.88
198,10,10,0.05,0.0,0.0,0.0,1.0,SORD,,0.88
199,10,10,0.05,0.0,0.07,0.07,0.9,SMM,,0.5
200,1,10,0.1,0.1,0.1,0.0,1.0,CC,1.0,0.5
201,1,10,0.1,0.1,0.0,0.1,0.9,ACC,,0.99
202,1,10,0.1,0.1,0.0,0.1,0.9,X,,0.99
203,1,10,0.1,0.1,0.0,0.1,0.9,MAX,,0.99
204,1,10,0.1,0.1,0.21,0.11,0.9,T50,0.67,0.12
205,1,10,0.1,0.1,0.0,0.1,0.9,MS,,0.99
206,1,10,0.1,0.1,0.08,0.02,1.0,HDy,1.0,0.5
207,1,10,0.1,0.1,0.14,0.04,1.0,DyS,1.0,0.5
208,1,10,0.1,0.1,0.0,0.1,0.9,SORD,,0.99
209,1,10,0.1,0.1,0.08,0.02,1.0,SMM,1.0,0.5
210,2,10,0.1,0.1,0.1,0.0,1.0,CC,1.0,0.5
211,2,10,0.1,0.1,0.0,0.1,0.9,ACC,,0.99
212,2,10,0.1,0.1,0.0,0.1,0.9,X,,0.99
213,2,10,0.1,0.1,0.0,0.1,0.9,MAX,,0.99
214,2,10,0.1,0.1,0.21,0.11,0.9,T50,0.67,0.2
215,2,10,0.1,0.1,0.04,0.06,0.9,MS,,0.99
216,2,10,0.1,0.1,0.13,0.03,1.0,HDy,1.0,0.5
217,2,10,0.1,0.1,0.17,0.07,0.9,DyS,0.67,0.2
218,2,10,0.1,0.1,0.0,0.1,0.9,SORD,,0.99
219,2,10,0.1,0.1,0.12,0.02,1.0,SMM,1.0,0.5
220,3,10,0.1,0.1,0.1,0.0,1.0,CC,1.0,0.5
221,3,10,0.1,0.1,0.0,0.1,0.9,ACC,,0.97
222,3,10,0.1,0.1,0.0,0.1,0.9,X,,0.97
223,3,10,0.1,0.1,0.0,0.1,0.9,MAX,,0.97
224,3,10,0.1,0.1,0.21,0.11,0.9,T50,0.67,0.12
225,3,10,0.1,0.1,0.0,0.1,0.9,MS,,0.97
226,3,10,0.1,0.1,0.04,0.06,0.9,HDy,,0.97
227,3,10,0.1,0.1,0.06,0.04,1.0,DyS,1.0,0.5
228,3,10,0.1,0.1,0.0,0.1,0.9,SORD,,0.97
229,3,10,0.1,0.1,0.09,0.01,1.0,SMM,1.0,0.5
230,4,10,0.1,0.1,0.1,0.0,1.0,CC,1.0,0.5
231,4,10,0.1,0.1,0.0,0.1,0.9,ACC,,0.75
232,4,10,0.1,0.1,0.0,0.1,0.9,X,,0.75
233,4,10,0.1,0.1,0.0,0.1,0.9,MAX,,0.75
234,4,10,0.1,0.1,0.0,0.1,0.9,T50,,0.75
235,4,10,0.1,0.1,0.0,0.1,0.9,MS,,0.75
236,4,10,0.1,0.1,0.01,0.09,0.9,HDy,,0.75
237,4,10,0.1,0.1,0.01,0.09,0.9,DyS,,0.75
238,4,10,0.1,0.1,0.0,0.1,0.9,SORD,,0.75
239,4,10,0.1,0.1,0.02,0.08,0.9,SMM,,0.75
240,5,10,0.1,0.1,0.3,0.2,0.8,CC,0.5,0.5
241,5,10,0.1,0.1,0.25,0.15,0.8,ACC,0.5,0.5
242,5,10,0.1,0.1,0.24,0.14,0.9,X,0.67,0.62
243,5,10,0.1,0.1,0.24,0.14,0.9,MAX,0.67,0.62
244,5,10,0.1,0.1,0.0,0.1,0.9,T50,,0.88
245,5,10,0.1,0.1,0.13,0.03,0.8,MS,,0.75
246,5,10,0.1,0.1,0.03,0.07,0.9,HDy,,0.88
247,5,10,0.1,0.1,0.02,0.08,0.9,DyS,,0.88
248,5,10,0.1,0.1,0.0,0.1,0.9,SORD,,0.88
249,5,10,0.1,0.1,0.19,0.09,0.9,SMM,0.67,0.62
250,6,10,0.1,0.1,0.3,0.2,0.8,CC,0.5,0.5
251,6,10,0.1,0.1,0.25,0.15,0.8,ACC,0.5,0.5
252,6,10,0.1,0.1,0.24,0.14,0.9,X,0.67,0.62
253,6,10,0.1,0.1,0.24,0.14,0.9,MAX,0.67,0.62
254,6,10,0.1,0.1,0.21,0.11,0.9,T50,0.67,0.62
255,6,10,0.1,0.1,0.16,0.06,0.9,MS,0.67,0.62
256,6,10,0.1,0.1,0.26,0.16,0.8,HDy,0.5,0.5
257,6,10,0.1,0.1,0.25,0.15,0.9,DyS,0.67,0.62
258,6,10,0.1,0.1,0.0,0.1,0.9,SORD,1.0,0.99
259,6,10,0.1,0.1,0.22,0.12,0.9,SMM,0.67,0.62
260,7,10,0.1,0.1,0.1,0.0,1.0,CC,1.0,0.5
261,7,10,0.1,0.1,0.0,0.1,0.9,ACC,,0.98
262,7,10,0.1,0.1,0.24,0.14,0.9,X,0.67,0.47
263,7,10,0.1,0.1,0.24,0.14,0.9,MAX,0.67,0.47
264,7,10,0.1,0.1,0.21,0.11,0.9,T50,0.67,0.47
265,7,10,0.1,0.1,0.1,0.0,1.0,MS,1.0,0.5
266,7,10,0.1,0.1,0.14,0.04,1.0,HDy,1.0,0.5
267,7,10,0.1,0.1,0.14,0.04,1.0,DyS,1.0,0.5
268,7,10,0.1,0.1,0.0,0.1,0.9,SORD,,0.98
