sample,Test_size,alpha,actual_prop,pred_prop,abs_error,accuracy,quantifier
7,10,0.15,0.1,0.2,0.1,0.9,CC
7,10,0.15,0.1,0.1,0.0,1.0,ACC
7,10,0.15,0.1,0.24,0.14,0.8,PCC
7,10,0.15,0.1,0.14,0.04,0.9,PACC
7,10,0.15,0.1,0.02,0.08,0.9,X
7,10,0.15,0.1,0.13,0.03,0.9,MAX
7,10,0.15,0.1,0.08,0.02,0.9,HDy
7,10,0.15,0.1,0.04,0.06,0.9,DyS
7,10,0.15,0.1,0.14,0.04,0.9,SMM
8,10,0.15,0.1,0.2,0.1,0.9,CC
8,10,0.15,0.1,0.1,0.0,1.0,ACC
8,10,0.15,0.1,0.32,0.22,0.7,PCC
8,10,0.15,0.1,0.24,0.14,0.9,PACC
8,10,0.15,0.1,0.02,0.08,1.0,X
8,10,0.15,0.1,0.01,0.09,1.0,MAX
8,10,0.15,0.1,0.2,0.1,0.9,T50
8,10,0.15,0.1,0.1,0.0,1.0,MS
8,10,0.15,0.1,0.1,0.0,1.0,HDy
8,10,0.15,0.1,0.07,0.03,1.0,DyS
8,10,0.15,0.1,0.1,0.0,1.0,SORD
8,10,0.15,0.1,0.24,0.14,0.9,SMM
9,10,0.15,0.1,0.2,0.1,0.9,CC
9,10,0.15,0.1,0.1,0.0,1.0,ACC
9,10,0.15,0.1,0.29,0.19,0.8,PCC
9,10,0.15,0.1,0.2,0.1,0.9,PACC
9,10,0.15,0.1,0.14,0.04,1.0,X
9,10,0.15,0.1,0.13,0.03,1.0,MAX
9,10,0.15,0.1,0.2,0.1,0.9,T50
9,10,0.15,0.1,0.08,0.02,0.9,MS
9,10,0.15,0.1,0.12,0.02,1.0,HDy
9,10,0.15,0.1,0.16,0.06,1.0,DyS
9,10,0.15,0.1,0.08,0.02,0.9,SORD
9,10,0.15,0.1,0.21,0.11,0.9,SMM
10,10,0.15,0.1,0.3,0.2,0.8,CC
10,10,0.15,0.1,0.22,0.12,0.8,ACC
10,10,0.15,0.1,0.36,0.26,0.7,PCC
10,10,0.15,0.1,0.29,0.19,0.8,PACC
10,10,0.15,0.1,0.02,0.08,0.9,X
10,10,0.15,0.1,0.13,0.03,0.9,MAX
10,10,0.15,0.1,0.17,0.07,0.9,MS
10,10,0.15,0.1,0.09,0.01,0.9,HDy
10,10,0.15,0.1,0.07,0.03,0.9,DyS
10,10,0.15,0.1,0.13,0.03,0.9,SORD
10,10,0.15,0.1,0.29,0.19,0.8,SMM
1,10,0.2,0.2,0.3,0.1,0.9,CC
1,10,0.2,0.2,0.22,0.02,0.8,ACC
1,10,0.2,0.2,0.36,0.16,0.9,PCC
1,10,0.2,0.2,0.29,0.09,0.8,PACC
1,10,0.2,0.2,0.26,0.06,0.8,X
1,10,0.2,0.2,0.25,0.05,0.8,MAX
1,10,0.2,0.2,0.2,0.0,0.8,T50
1,10,0.2,0.2,0.21,0.01,0.8,MS
1,10,0.2,0.2,0.27,0.07,0.8,HDy
1,10,0.2,0.2,0.25,0.05,0.8,DyS
